id,name,unitId,unitIds,pilotId,rarity,isSupportCategory,type,hp,attack,defense,accuracy,mobility,trait,power,hitRate,rangeMin,rangeMax,terrainAir,terrainLand,terrainSea,terrainSpace,mapEnabled,mapLabel,mapTarget,mapAreaType,action,uses,spiritCommandName,spiritCommandUses,spiritCommandDescription,mainName,mainDescription,mainEffect,finisherName,finisherDescription,finisherEffect,subName,subDescription,subEffect
1,ナイトホーク・レイド,1,1,4,SSR+,,実弾,2520,3150,2160,264,291,5,265,60,1,4,A,S,B,S,,,,,3,5,,,,ADMデータリンク（ARX-8&M9D）,移動力が2増加する（効果は重複しない。効果の最も高いもののみ有効）。攻撃力・照準値・運動性が27%増加する。気力が10上昇する毎に、攻撃力・運動性が8%、照準値が7%、ナイトホーク・レイドの必殺技威力が8.5%増加する。全ての攻撃のブレイクゲージ減少量が100％増加する。ARX-8レーバテイン装備時、気力130以上のとき、自分のアクション時のみ、攻撃力・照準値が32%増加する。ARX-8レーバテイン装備時、気力130以上のとき、被ダメージを7000軽減するバリアを展開し、回避率が45%増加する。ARX-8レーバテイン装備時、戦闘時のみ敵ユニットのバリア系アビリティ効果を70%減少させる。ARX-8レーバテイン装備時、かつフィールド上に味方メインパイロットのベルファンガン・クルーゾーがいるとき、攻撃力・運動性が23.5%増加し、敵ユニットのアクション時のみ、回避成功時にナイトホーク・レイドの必殺技アクション数を1進める（効果対象となる必殺技を発動した時のみ、その必殺技自身のアクション数は進めない）。,,ADMデータリンク（ARX-8&M9D）,気力が10上昇する毎に、攻撃力・照準値・運動性が2%、ナイトホーク・レイドの必殺技威力が5%増加する。ARX-8レーバテイン装備時、戦闘時のみ敵ユニットのバリア系アビリティ効果を70%減少させる。,,攻撃力・運動性アップⅢ,攻撃力・運動性が2.5%増加する,
2,ラムダ・ストライク（ARX-8）,1,1,4,SSR+,,特殊,2610,3300,2010,261,288,5,255,60,1,3,A,S,B,S,,,,,3,5,,,,サブアーム（ARX-8）,攻撃力・照準値・運動性が25.5%増加する。気力が10上昇する毎に、攻撃力・運動性が8%、照準値が7%、ラムダ・ストライク（ARX-8）の必殺技威力が8.5%増加する。ARX-8レーバテイン装備時、気力130以上のとき、戦闘時のみ敵ユニットの防御力・運動性を32%減少させる。ARX-8レーバテイン装備時、気力130以上のとき、被ダメージを7000軽減するバリアを展開し、回避率が45%増加する。ARX-8レーバテイン装備時、斬撃・実弾・特殊属性の全ての攻撃のブレイクゲージ減少量が100%増加し、戦闘時のみ敵ユニットのバリア系アビリティ効果を70%減少させる。ARX-8レーバテイン装備時、反撃時、100%の確率で先制攻撃を行う,,サブアーム（ARX-8）,気力が10上昇する毎に、攻撃力・照準値・運動性が2%増加し、ラムダ・ストライク（ARX-8）の必殺技威力が4.5%増加する。ラムダ・ストライク（ARX-8）のブレイクゲージ減少量が35%増加する。反撃時、70%の確率で先制攻撃を行う,,攻撃力・運動性アップⅢ,攻撃力・運動性が2.5%増加する,
3,デモリッションガン ガン・ハウザーモード（MAP）,1,1,4,SSR+,,実弾,2610,3270,2040,261,288,5,245,60,0,0,A,S,B,S,true,MAP Lv1,敵,方向,2,5,,,,ラムダ・ドライバ（ARX-8）,ARX-8レーバテイン装備時、移動力が1増加する（効果は重複可能）。攻撃力・照準値・運動性が23.5%増加する。気力が10上昇する毎に、攻撃力・運動性が8%、照準値が6%、デモリッションガン ガン・ハウザーモード（MAP）の必殺技威力が8.5%増加する。ARX-8レーバテイン装備時、気力130以上のとき、戦闘時のみ敵ユニットの防御力・運動性を32%減少させる。ARX-8レーバテイン装備時、気力130以上のとき、被ダメージを3500軽減するバリアを展開し、回避率が35%増加する。ARX-8レーバテイン装備時、戦闘時のみ敵ユニットのバリア系アビリティ効果を70%減少させる。ARX-8レーバテイン装備時、斬撃・実弾属性の全ての攻撃のブレイクゲージ減少量が100%増加し、デモリッションガン ガン・ハウザーモード（MAP）でブレイク成功時、敵ユニットのブレイクゲージ復帰に必要なアクション数を1増加させる,,ラムダ・ドライバ（ARX-8）,移動力が1増加する（効果は重複可能）。気力が10上昇する毎に、攻撃力・照準値・運動性が2%増加する。デモリッションガン ガン・ハウザーモード（MAP）のブレイクゲージ減少量が35%増加する,,攻撃力・運動性アップⅢ,攻撃力・運動性が2.5%増加する,
4,たゆたう身体に宿る意志,,,,SSR+,true,,3420,3240,2610,264,297,5,,,,,A,A,A,A,,,,,,,神速＋,2,1アクションの間、攻撃力・運動性が40%増加する,照準値ダウンⅢ,40%の確率で、戦闘時のみ敵ユニットの照準値を15%減少させる,,,,,タイプ強化Ⅵ・HP・ダメージ増加（攻撃&回避）,HP・全ての攻撃の与ダメージが12%増加する。攻撃&回避タイプのみ、攻撃力・運動性が4.5%増加し、気力が130以上のとき、攻撃&回避タイプの攻撃力が400、運動性が40増加する,
5,デモリッションガン,1,1,4,SSR+,,実弾,2610,3240,2100,258,288,5,245,60,1,5,A,S,B,S,,,,,2,5,,,,アル（ARX-8）,ARX-8レーバテイン装備時、MAP兵器以外の最大射程が1増加する（効果は重複しない。効果の最も高いもののみ有効）。攻撃力・照準値・運動性が22.5%増加する。気力が10上昇する毎に攻撃力が7%、照準値・運動性が6%、デモリッションガンの必殺技威力が8%増加する。ARX-8レーバテイン装備時、4マス以上離れている時、全ての攻撃の与ダメージ・回避率が35%、命中率が25%増加する。デモリッションガン命中時、自分に「覚醒」を発動する。ARX-8レーバテイン装備時、戦闘時の命中ユニットのサイズ差による与ダメージ減少効果を無効化し、戦闘時のみ敵ユニットのバリア系アビリティ効果を70%減少させる,,アル（ARX-8）,MAP兵器以外の最大射程が1増加する（効果は重複しない。効果の最も高いもののみ有効）。気力が10上昇する毎に攻撃力・照準値・運動性が2%増加する。デモリッションガン命中時、自分に「覚醒」を発動する。戦闘時の命中ユニットのサイズ差による与ダメージ減少効果を無効化する,,攻撃力・運動性アップⅢ,攻撃力・運動性が2.5%増加する,
6,76mm散弾砲ボクサー2,1,1,4,SSR+,,実弾,2565,2880,2250,222,258,5,215,40,1,4,A,S,B,S,,,,,2,4,,,,セミ・マスター・スレイブ（ARX-8）,攻撃力・運動性が21%増加する。気力130以上のとき、76mm散弾砲ボクサー2の必殺技威力が25%増加する。戦闘回数に応じて攻撃力・運動性が3.4%増加する（最大17%）,,セミ・マスター・スレイブ（ARX-8）,攻撃力・運動性が11%増加する。気力130以上のとき、76mm散弾砲ボクサー2の必殺技威力が16%増加する,,攻撃力・運動性アップⅠ,攻撃力・運動性が1.5%増加する,
7,単分子カッター,1,1,4,SSR+,,斬撃,2475,2940,2010,231,273,5,220,40,1,3,A,S,B,S,,,,,3,4,,,,ガードブレイクⅣ,気力120以上のとき、戦闘時のみ敵ユニットの防御力を25%減少させる。攻撃力・防御力・照準値・運動性が10.5%増加する,,ガードブレイクⅣ,気力が120以上のとき、戦闘時のみ敵ユニットの防御力を12.5%減少させる。攻撃力・防御力・照準値・運動性が6.5%増加する,,攻撃力・運動性アップⅠ,攻撃力・運動性が1.5%増加する,
8,スラスト・コンバット,1,1,4,SSR+,,打撃,2475,2970,2280,225,249,5,220,40,1,2,A,S,B,S,,,,,2,4,,,,高機動Ⅳ,気力120以上のとき、運動性が25%増加する。攻撃力・防御力・照準値・運動性が10.5%増加する,,高機動Ⅳ,気力が120以上のとき、運動性が10%増加する。攻撃力・防御力・照準値・運動性が6.5%増加する,,運動性アップⅠ,運動性が2.5%増加する,
9,ウルズ・ストライク,2,2,4,SSR+,,特殊,2430,3150,2220,279,276,5,260,85,1,4,A,S,B,S,,,,,2,4,,,,新型マッスル・パッケージ,ARX-7アーバレスト装備時、攻撃力・照準値・運動性が17.5%増加し、気力が10上昇する毎に攻撃力・照準値・運動性が5.5%増加する。ARX-7アーバレスト装備時、気力130以上のとき、全ての攻撃の与ダメージ・命中率が20%、回避率が30%増加する。ARX-7アーバレスト装備時、自分のアクション時のみ、敵ユニットを撃墜したとき2回行動する（効果は重複しない）,,新型マッスル・パッケージ,ARX-7アーバレスト装備時、気力が10上昇する毎に攻撃力・照準値・運動性が2%増加する。ARX-7アーバレスト装備時、自分のアクション時のみ、敵ユニットを撃墜したとき2回行動する（効果は重複しない）,,タイプ強化Ⅳ・運動性（攻撃&回避）（相良宗介）,攻撃力・運動性が4.5%増加する。攻撃&回避タイプのみ、さらに運動性が3.5%増加する。相良宗介装備時、運動性が60増加する,
10,超精密射撃,8,8,3,SSR+,,実弾,2925,3120,2550,294,192,5,250,60,1,4,A,S,B,S,,,,,2,5,,,,ADMデータリンク,命中特化タイプのMAP兵器以外の最大射程が1増加する（効果は重複可能）。M9ガーンズバック（クルツ）装備時、気力が10上昇する毎に、攻撃力・照準値が7%増加する。自分のアクション時のみ、照準値が12%増加する。実弾属性の全ての攻撃のブレイクゲージ減少量が110%増加する。M9ガーンズバック（クルツ）装備時、かつフィールド上に味方の相良宗介、メリッサ・マオ、ベルファンガン・クルーゾーがいるとき、1パイロットにつき攻撃力・防御力・照準値が6%増加し、実弾属性の全ての攻撃のブレイクゲージ減少量が18%増加する,,ADMデータリンク,命中特化タイプのMAP兵器以外の最大射程が1増加する（効果は重複可能）。M9ガーンズバック（クルツ）装備時、かつフィールド上に味方の相良宗介、メリッサ・マオ、ベルファンガン・クルーゾーがいるとき、1パイロットにつき攻撃力・防御力・照準値が3.5%増加し、実弾属性の全ての攻撃のブレイクゲージ減少量が12%増加する,,タイプ強化Ⅴ（攻撃&回避）（相良宗介）,攻撃力・運動性が5.5%増加する。攻撃&回避タイプのみ、さらに攻撃力・運動性が3%増加する。相良宗介装備時、攻撃力が400、運動性が40増加する,
